province,district,posto
NIASSA,CUAMBA,
NIASSA,LAGO,
NIASSA,LICHINGA,
NIASSA,MAJUNE,
NIASSA,MANDIMBA,
NIASSA,MARRUPA,
NIASSA,MAUA,
NIASSA,MAVAGO,
NIASSA,MECANHELAS,
NIASSA,MECULA,
NIASSA,METARICA,
NIASSA,MUEMBE,
NIASSA,N'GAUMA,
NIASSA,NIPEPE,
NIASSA,SANGA,
C.DELGADO,ANCUABE,
C.DELGADO,BALAMA,
C.DELGADO,CHIURE,
C.DELGADO,IBO,
C.DELGADO,MACOMIA,
C.DELGADO,MECUFI,
C.DELGADO,MELUCO,
C.DELGADO,MOCIMBOA,
C.DELGADO,MONTEPUEZ,
C.DELGADO,MUEDA,
C.DELGADO,MUIDUMBE,
C.DELGADO,NAMUNO,
C.DELGADO,NANGADE,
C.DELGADO,PALMA,
C.DELGADO,PEMBA_METUGE,
C.DELGADO,QUISSANGA,
NAMPULA,ANGOCHE,
NAMPULA,NAMAPA_ERATI,
NAMPULA,ILHA DE MOCAMBIQUE,
NAMPULA,LALAUA,
NAMPULA,MALEMA,
NAMPULA,MECONTA,
NAMPULA,MECUBURI,
NAMPULA,MEMBA,
NAMPULA,MOGINCUAL,
NAMPULA,MOGOVOLAS,
NAMPULA,MOMA,
NAMPULA,MONAPO,
NAMPULA,MOSSURIL,
NAMPULA,MUECATE,
NAMPULA,MURRUPULA,
NAMPULA,NACALA_VELHA,
NAMPULA,NACAROA,
NAMPULA,RAPALE_NAMPULA,
NAMPULA,RIBAUE,
ZAMBEZIA,ALTO MOLOCUE,
ZAMBEZIA,CHINDE,
ZAMBEZIA,GILE,
ZAMBEZIA,GURUE,
ZAMBEZIA,ILE,
ZAMBEZIA,INHASSUNGE,
ZAMBEZIA,LUGELA,
ZAMBEZIA,MAGANJA DA COSTA,
ZAMBEZIA,MILANGE,
ZAMBEZIA,MOCUBA,
ZAMBEZIA,MOPEIA,
ZAMBEZIA,MORRUMBALA,
ZAMBEZIA,NAMACURRA,
ZAMBEZIA,NAMAROI,
ZAMBEZIA,NICOADALA,
ZAMBEZIA,PEBANE,
ZAMBEZIA,DERRE,
ZAMBEZIA,MOCUBELA,
ZAMBEZIA,MOLUMBO,
ZAMBEZIA,MULEVALA,
ZAMBEZIA,QUELIMANE,
ZAMBEZIA,LUABO,
TETE,ANGONIA,
TETE,CAHORA_BASSA,
TETE,CHANGARA,
TETE,CHIFUNDE,
TETE,CHIUTA,
TETE,MACANGA,
TETE,MAGOE,
TETE,MARAVIA,
TETE,MOATIZE,
TETE,MUTARARA,
TETE,TSANGANO,
TETE,ZUMBO,
MANICA,BARUE,
MANICA,GONDOLA,
MANICA,GURO,
MANICA,MACHAZE,
MANICA,MACOSSA,
MANICA,MANICA,
MANICA,MOSSURIZE,
MANICA,SUSSUNDENGA,
MANICA,TAMBARA,
SOFALA,BUZI,
SOFALA,CAIA,
SOFALA,CHEMBA,
SOFALA,CHERINGOMA,
SOFALA,CHIBABAVA,
SOFALA,DONDO,
SOFALA,GORONGOSA,
SOFALA,MACHANGA,
SOFALA,MARINGUE,
SOFALA,MARROMEU,
SOFALA,MUANZA,
SOFALA,NHAMATANDA,
INHAMBANE,FUNHALOURO,
INHAMBANE,GOVURO,
INHAMBANE,HOMOINE,
INHAMBANE,INHARRIME,
INHAMBANE,INHASSORO,
INHAMBANE,JANGAMO,
INHAMBANE,MABOTE,
INHAMBANE,MASSINGA,
INHAMBANE,MORRUMBENE,
INHAMBANE,PANDA,
INHAMBANE,VILANKULO,
INHAMBANE,ZAVALA,
GAZA,BILENE_MACIA,
GAZA,CHIBUTO,
GAZA,CHICUALACUALA,
GAZA,CHIGUBO,
GAZA,CHOKWE,
GAZA,GUIJA,
GAZA,MABALANE,
GAZA,MANJACAZE,
GAZA,MASSANGENA,
GAZA,MASSINGIR,
GAZA,XAI_XAI,
MAPUTO,BOANE,
MAPUTO,MAGUDE,
MAPUTO,MANHICA,
MAPUTO,MARRACUENE,
MAPUTO,MATUTUINE,
MAPUTO,MOAMBA,
MAPUTO,NAMAACHA,
,,
,CUAMBA,ETATARA
,CUAMBA,LURIO
,LAGO,METANGULA
,LAGO,COBUE
,LAGO,LUNHO
,LAGO,MANIAMBA
,LICHINGA,CHIMBONILA
,LICHINGA,LIONE
,LICHINGA,MEPONDA
,MAJUNE,MAJUNE
,MAJUNE,MUAQUIA
,MAJUNE,NAIRRUBI
,MANDIMBA,MANDIMBA
,MANDIMBA,MITANDE
,MARRUPA,MARRUPA
,MARRUPA,MARANGIRA
,MARRUPA,NUNGO
,MAUA,MAUA
,MAUA,MAIACA
,MAVAGO,MAVAGO
,MAVAGO,M'SAWIZE
,MECANHELAS,MECANHELAS
,MECANHELAS,CHIUTA
,MECULA,MECULA
,MECULA,MATONDOVELA
,METARICA,METARICA
,METARICA,MUCUMUA
,MUEMBE,MUEMBE
,MUEMBE,CHICONONO
,N'GAUMA,MASSANGULO
,N'GAUMA,ITEPELA
,NIPEPE,NIPEPE
,NIPEPE,MUIPITE
,SANGA,SANGA
,SANGA,LUSSIMBEZE
,SANGA,MACALOGE
,SANGA,MATCHEDJE
,ANCUABE,ANCUABE
,ANCUABE,METORO
,ANCUABE,MEZA
,BALAMA,BALAMA
,BALAMA,IMPIRI
,BALAMA,KWEKWE
,BALAMA,MAVALA
,CHIURE,CHIURE
,CHIURE,CHIURE VELHO
,CHIURE,KATAPUA
,CHIURE,MAZEZE
,CHIURE,NAMOGELIA
,CHIURE,OCUA
,IBO,IBO
,IBO,QUIRIMBA
,MACOMIA,MACOMIA
,MACOMIA,CHAI
,MACOMIA,MUCOJO
,MACOMIA,QUITERAJO
,MECUFI,MECUFI
,MECUFI,MURREBUE
,MELUCO,MELUCO
,MELUCO,MUAGUIDE
,MOCIMBOA,MOCIMBOA DA PRAIA
,MOCIMBOA,DIACA
,MOCIMBOA,MBAU
,MONTEPUEZ,MAPUPULO
,MONTEPUEZ,MIRATE
,MONTEPUEZ,NAIROTO
,MONTEPUEZ,NAMANHUMBIR
,MUEDA,MUEDA
,MUEDA,CHAPA
,MUEDA,IMBUHO
,MUEDA,NEGOMANO
,MUEDA,NGAPA
,MUIDUMBE,MUIDUMBE
,MUIDUMBE,CHITUNDA
,MUIDUMBE,MITEDA
,NAMUNO,NAMUNO
,NAMUNO,HUCULA
,NAMUNO,MACHOCA
,NAMUNO,MELOCO
,NAMUNO,NCUMPE
,NAMUNO,LULI
,NANGADE,NANGADE
,NANGADE,NTAMBA
,PALMA,PALMA
,PALMA,OLUMBE
,PALMA,PUNDANHAR
,PALMA,QUIONGA
,PEMBA_METUGE,METUGE
,PEMBA_METUGE,MIEZE
,QUISSANGA,QUISSANGA
,QUISSANGA,BILIBIZA
,QUISSANGA,MAHATE
,ANGOCHE,AUBE
,ANGOCHE,NAMAPONDA
,ANGOCHE,BOILA_NAMETORIA
,NAMAPA_ERATI,NAMAPA_ERATI
,NAMAPA_ERATI,ALUA
,NAMAPA_ERATI,NAMIROA
,ILHA DE MOCAMBIQUE,LUMBO
,LALAUA,LALAUA
,LALAUA,METI
,MALEMA,MALEMA
,MALEMA,CHIHULO
,MALEMA,MUTUALI
,MECONTA,MECONTA
,MECONTA,CORRANE
,MECONTA,NAMIALO
,MECONTA,7 DE ABRIL
,MECUBURI,MECUBURI
,MECUBURI,MILHANA
,MECUBURI,MUITE
,MECUBURI,NAMINA
,MEMBA,MEMBA
,MEMBA,CHIPENE
,MEMBA,LURIO
,MEMBA,MAZUE
,MOGINCUAL,MONGICUALA
,MOGINCUAL,QUINGA
,MOGINCUAL,CHUNGA
,MOGINCUAL,QUIXAXE
,MOGINCUAL,LIUPO
,MOGOVOLAS,NAMETIL
,MOGOVOLAS,CALIPO
,MOGOVOLAS,ILUTE
,MOGOVOLAS,MUATUA
,MOGOVOLAS,NANHUPO
,MOMA,MACONE
,MOMA,CHALAUA
,MOMA,LARDE
,MOMA,MUCUALI
,MONAPO,MONAPO
,MONAPO,ITOCULO
,MONAPO,NETIA
,MOSSURIL,MOSSURIL
,MOSSURIL,LUNGA
,MOSSURIL,MATIBANE
,MUECATE,MUECATE
,MUECATE,IMALA
,MUECATE,MUCULUONE
,MURRUPULA,MURRUPULA
,MURRUPULA,CHINGA
,MURRUPULA,NEHESSINE
,NACALA_VELHA,NACALA_VELHA
,NACALA_VELHA,COVO
,NACAROA,NACAROA
,NACAROA,INTETE
,NACAROA,SAUA_SAUA
,RAPALE_NAMPULA,RAPALE
,RAPALE_NAMPULA,ANCHILO
,RAPALE_NAMPULA,MUTIVAZE
,RAPALE_NAMPULA,NAMAITA
,RIBAUE,RIBAUE
